,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
154,0,ICU model (LG+imputed) Train,False,0,0.53,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
155,0,ICU model (LG+imputed) Train,False,0,0.54,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
156,0,ICU model (LG+imputed) Train,False,0,0.55,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
157,0,ICU model (LG+imputed) Train,False,0,0.56,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
158,0,ICU model (LG+imputed) Train,False,0,0.5700000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
159,0,ICU model (LG+imputed) Train,False,0,0.58,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
160,0,ICU model (LG+imputed) Train,False,0,0.59,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
161,0,ICU model (LG+imputed) Train,False,0,0.6,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
162,0,ICU model (LG+imputed) Train,False,0,0.61,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
163,0,ICU model (LG+imputed) Train,False,0,0.62,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
164,0,ICU model (LG+imputed) Train,False,0,0.63,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
165,0,ICU model (LG+imputed) Train,False,0,0.64,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
166,0,ICU model (LG+imputed) Train,False,0,0.65,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
167,0,ICU model (LG+imputed) Train,False,0,0.66,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
168,0,ICU model (LG+imputed) Train,False,0,0.67,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
169,0,ICU model (LG+imputed) Train,False,0,0.68,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
170,0,ICU model (LG+imputed) Train,False,0,0.6900000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
171,0,ICU model (LG+imputed) Train,False,0,0.7000000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
172,0,ICU model (LG+imputed) Train,False,0,0.71,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
173,0,ICU model (LG+imputed) Train,False,0,0.72,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
174,0,ICU model (LG+imputed) Train,False,0,0.73,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
175,0,ICU model (LG+imputed) Train,False,0,0.74,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
176,0,ICU model (LG+imputed) Train,False,0,0.75,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
177,0,ICU model (LG+imputed) Train,False,0,0.76,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
178,0,ICU model (LG+imputed) Train,False,0,0.77,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
179,0,ICU model (LG+imputed) Train,False,0,0.78,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
180,0,ICU model (LG+imputed) Train,False,0,0.79,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
181,0,ICU model (LG+imputed) Train,False,0,0.8,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
182,0,ICU model (LG+imputed) Train,False,0,0.81,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
183,0,ICU model (LG+imputed) Train,False,0,0.8200000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
184,0,ICU model (LG+imputed) Train,False,0,0.8300000000000001,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
185,0,ICU model (LG+imputed) Train,False,0,0.84,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
186,0,ICU model (LG+imputed) Train,False,0,0.85,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
187,0,ICU model (LG+imputed) Train,False,0,0.86,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
188,0,ICU model (LG+imputed) Train,False,0,0.87,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
189,0,ICU model (LG+imputed) Train,False,0,0.88,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
190,0,ICU model (LG+imputed) Train,False,0,0.89,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
191,0,ICU model (LG+imputed) Train,False,0,0.9,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
192,0,ICU model (LG+imputed) Train,False,0,0.91,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
193,0,ICU model (LG+imputed) Train,False,0,0.92,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
